A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 257 terminé | Score : 260.00 | Total steps : 24610
Épisode 258 terminé | Score : 460.00 | Total steps : 24666
Épisode 259 terminé | Score : 1140.00 | Total steps : 24806
Épisode 260 terminé | Score : 340.00 | Total steps : 24861
Épisode 261 terminé | Score : 190.00 | Total steps : 24928
Épisode 262 terminé | Score : 1140.00 | Total steps : 25066
Épisode 263 terminé | Score : 340.00 | Total steps : 25121
Épisode 264 terminé | Score : 340.00 | Total steps : 25205
Épisode 265 terminé | Score : 880.00 | Total steps : 25321
Épisode 266 terminé | Score : 380.00 | Total steps : 25392
Épisode 267 terminé | Score : 210.00 | Total steps : 25484
Épisode 268 terminé | Score : 1140.00 | Total steps : 25620
Épisode 269 terminé | Score : 340.00 | Total steps : 25675
Épisode 270 terminé | Score : 190.00 | Total steps : 25738
Épisode 271 terminé | Score : 1140.00 | Total steps : 25876
Épisode 272 terminé | Score : 260.00 | Total steps : 25930
Épisode 273 terminé | Score : 500.00 | Total steps : 26041
Épisode 274 terminé | Score : 1140.00 | Total steps : 26183
Épisode 275 terminé | Score : 340.00 | Total steps : 26238
Épisode 276 terminé | Score : 240.00 | Total steps : 26306
Épisode 277 terminé | Score : 940.00 | Total steps : 26507
Épisode 278 terminé | Score : 510.00 | Total steps : 26581
Épisode 279 terminé | Score : 980.00 | Total steps : 26699
Épisode 280 terminé | Score : 1140.00 | Total steps : 26834
Épisode 281 terminé | Score : 260.00 | Total steps : 26888
Épisode 282 terminé | Score : 440.00 | Total steps : 26962
Épisode 283 terminé | Score : 1140.00 | Total steps : 27097
Épisode 284 terminé | Score : 510.00 | Total steps : 27171
Épisode 285 terminé | Score : 980.00 | Total steps : 27272
Épisode 286 terminé | Score : 1140.00 | Total steps : 27414
Épisode 287 terminé | Score : 340.00 | Total steps : 27469
Épisode 288 terminé | Score : 630.00 | Total steps : 27557
Épisode 289 terminé | Score : 1140.00 | Total steps : 27692
Épisode 290 terminé | Score : 510.00 | Total steps : 27766
Épisode 291 terminé | Score : 990.00 | Total steps : 27865
Épisode 292 terminé | Score : 1140.00 | Total steps : 28005
Épisode 293 terminé | Score : 340.00 | Total steps : 28060
Épisode 294 terminé | Score : 630.00 | Total steps : 28179
Épisode 295 terminé | Score : 1140.00 | Total steps : 28316
Épisode 296 terminé | Score : 340.00 | Total steps : 28371
Épisode 297 terminé | Score : 630.00 | Total steps : 28455
Épisode 298 terminé | Score : 1140.00 | Total steps : 28594
Épisode 299 terminé | Score : 240.00 | Total steps : 28654
Épisode 300 terminé | Score : 240.00 | Total steps : 28715
Épisode 301 terminé | Score : 1140.00 | Total steps : 28856
Épisode 302 terminé | Score : 340.00 | Total steps : 28911
Épisode 303 terminé | Score : 600.00 | Total steps : 29014
Épisode 304 terminé | Score : 1140.00 | Total steps : 29149
Épisode 305 terminé | Score : 260.00 | Total steps : 29203
Épisode 306 terminé | Score : 420.00 | Total steps : 29274
Épisode 307 terminé | Score : 940.00 | Total steps : 29469
Épisode 308 terminé | Score : 510.00 | Total steps : 29543
Épisode 309 terminé | Score : 190.00 | Total steps : 29604
Épisode 310 terminé | Score : 1140.00 | Total steps : 29740
Épisode 311 terminé | Score : 340.00 | Total steps : 29795
Épisode 312 terminé | Score : 500.00 | Total steps : 29883
Épisode 313 terminé | Score : 940.00 | Total steps : 30084
Épisode 314 terminé | Score : 510.00 | Total steps : 30158
Épisode 315 terminé | Score : 1200.00 | Total steps : 30277
Épisode 316 terminé | Score : 1140.00 | Total steps : 30419
Épisode 317 terminé | Score : 340.00 | Total steps : 30474
Épisode 318 terminé | Score : 340.00 | Total steps : 30558
Épisode 319 terminé | Score : 1140.00 | Total steps : 30697
Épisode 320 terminé | Score : 340.00 | Total steps : 30754
Épisode 321 terminé | Score : 340.00 | Total steps : 30855
Épisode 322 terminé | Score : 1140.00 | Total steps : 30995
Épisode 323 terminé | Score : 340.00 | Total steps : 31050
Épisode 324 terminé | Score : 630.00 | Total steps : 31138
Épisode 325 terminé | Score : 1140.00 | Total steps : 31279
Épisode 326 terminé | Score : 340.00 | Total steps : 31336
Épisode 327 terminé | Score : 240.00 | Total steps : 31398
Épisode 328 terminé | Score : 880.00 | Total steps : 31515
